numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
9300557;WALABI;H319;Provoque une sévère irritation des yeux;
9300557;WALABI;H335;Peut irriter les voies respiratoires;
9300557;WALABI;H351;Susceptible de provoquer le cancer;
9300557;WALABI;H400;Très toxique pour les organismes aquatiques;
9300557;WALABI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500339;ZETANIL C;H317;Peut provoquer une allergie cutanée;
9500339;ZETANIL C;H319;Provoque une sévère irritation des yeux;
9500339;ZETANIL C;H332;Nocif par inhalation;
9500339;ZETANIL C;H335;Peut irriter les voies respiratoires;
9500339;ZETANIL C;H351;Susceptible de provoquer le cancer;
9500339;ZETANIL C;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
9500339;ZETANIL C;H400;Très toxique pour les organismes aquatiques;
9500339;ZETANIL C;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200159;SCALA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9200159;SCALA;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2180631;OROCIDE;H319;Provoque une sévère irritation des yeux;
2180631;OROCIDE;H332;Nocif par inhalation;
2180631;OROCIDE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2030110;SKAELIM;H318;Provoque des lésions oculaires graves;
2030110;SKAELIM;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2040086;CORTES SP;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160569;CORTES SP J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2040085;CORTES SP PAE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2161076;COSMIC J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9600318;COSMIC JARDINS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2080121;FORUM GOLD;H302;Nocif en cas d'ingestion;
2080121;FORUM GOLD;H315;Provoque une irritation cutanée;
2080121;FORUM GOLD;H317;Peut provoquer une allergie cutanée;
2080121;FORUM GOLD;H318;Provoque des lésions oculaires graves;
2080121;FORUM GOLD;H351;Susceptible de provoquer le cancer;
2080121;FORUM GOLD;H400;Très toxique pour les organismes aquatiques;
2080121;FORUM GOLD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080121;FORUM GOLD;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2120132;FORUM TOP;H302;Nocif en cas d'ingestion;
2120132;FORUM TOP;H317;Peut provoquer une allergie cutanée;
2120132;FORUM TOP;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2120132;FORUM TOP;H400;Très toxique pour les organismes aquatiques;
2120132;FORUM TOP;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180164;OSMAN;H315;Provoque une irritation cutanée;
2180164;OSMAN;H400;Très toxique pour les organismes aquatiques;
2180164;OSMAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170563;TRANSFORM;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700458;DESHERBANT SYSTEMIQUE NON REMANENT BASF HJ;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9300465;GLYFIN;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9300466;GLYFIN IND;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9300468;GLYFIN PJT;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9400286;GLYFONET 360;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9700058;GLYFOPLUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500561;GLYFORT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010290;GLYFORT PRET A L EMPLOI;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160574;GLYFORT PRO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2160574;GLYFORT PRO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100006;GLYFOS ENVISION 120G/L;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2100006;GLYFOS ENVISION 120G/L;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100006;GLYFOS ENVISION 120G/L;EUH210;Fiche de données de sécurité disponible sur demande;
2100005;GLYFOS ENVISION 7,2G/L;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2100005;GLYFOS ENVISION 7,2G/L;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100005;GLYFOS ENVISION 7,2G/L;EUH210;Fiche de données de sécurité disponible sur demande;
2010052;GLYFOVERT EV;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2010052;GLYFOVERT EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010051;GLYFOVERT PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9700207;GLYK'UP C;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500016;GLYPHOCAL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010508;GLYPHOCAL PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400415;GLYPHOROC 480;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500562;GLYPHOSTAR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500560;GLYPHOXY;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400416;GLYPHOZERB' 360;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100242;ECODIAN CP;H400;Très toxique pour les organismes aquatiques;
2100242;ECODIAN CP;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
6700395;AFEFLUID VENTILE SUPER;H317;Peut provoquer une allergie cutanée;
6700395;AFEFLUID VENTILE SUPER;H332;Nocif par inhalation;
9700519;VAZYL-Y;H302;Nocif en cas d'ingestion;
9700519;VAZYL-Y;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2120172;AXIENDO EASY;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120172;AXIENDO EASY;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120129;AXIENDO;H400;Très toxique pour les organismes aquatiques;
2120129;AXIENDO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120129;AXIENDO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2110001;HARASS;H400;Très toxique pour les organismes aquatiques;
2110001;HARASS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110001;HARASS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2150028;PROMAN;H351;Susceptible de provoquer le cancer;
2150028;PROMAN;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2150028;PROMAN;H400;Très toxique pour les organismes aquatiques;
2150028;PROMAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150755;MOLIDOR;H302;Nocif en cas d'ingestion;
2150755;MOLIDOR;H317;Peut provoquer une allergie cutanée;
2150755;MOLIDOR;H332;Nocif par inhalation;
2150755;MOLIDOR;H351;Susceptible de provoquer le cancer;
2150755;MOLIDOR;H400;Très toxique pour les organismes aquatiques;
2150755;MOLIDOR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010502;SHIRLAN;H317;Peut provoquer une allergie cutanée;
2010502;SHIRLAN;H361d;Susceptible de nuire au foetus;
2010502;SHIRLAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010502;SHIRLAN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500361;DANAGAN;H302;Nocif en cas d'ingestion;
9500361;DANAGAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170434;RAK 3+4;H315;Provoque une irritation cutanée;
2170434;RAK 3+4;H317;Peut provoquer une allergie cutanée;
2170434;RAK 3+4;H400;Très toxique pour les organismes aquatiques;
2170434;RAK 3+4;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2130067;CYFLODIUM;H315;Provoque une irritation cutanée;
2130067;CYFLODIUM;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2180123;ASCERNITY;H302;Nocif en cas d'ingestion;
2180123;ASCERNITY;H319;Provoque une sévère irritation des yeux;
2180123;ASCERNITY;H332;Nocif par inhalation;
2180123;ASCERNITY;H335;Peut irriter les voies respiratoires;
2180123;ASCERNITY;H400;Très toxique pour les organismes aquatiques;
2180123;ASCERNITY;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200270;BIGALO;H400;Très toxique pour les organismes aquatiques;
2200270;BIGALO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180290;PLANTLINE E4;H280;Contient un gaz sous pression. peut exploser sous l'effet de la chaleur;
2180290;PLANTLINE E4;H336;Peut provoquer somnolence ou des vertiges;
9900014;CYPERFOR S;H302;Nocif en cas d'ingestion;
9900014;CYPERFOR S;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9900014;CYPERFOR S;H315;Provoque une irritation cutanée;
9900014;CYPERFOR S;H318;Provoque des lésions oculaires graves;
9900014;CYPERFOR S;H336;Peut provoquer somnolence ou des vertiges;
9900014;CYPERFOR S;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500126;CYPERFOR;H302;Nocif en cas d'ingestion;
9500126;CYPERFOR;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9500126;CYPERFOR;H315;Provoque une irritation cutanée;
9500126;CYPERFOR;H318;Provoque des lésions oculaires graves;
9500126;CYPERFOR;H336;Peut provoquer somnolence ou des vertiges;
9500126;CYPERFOR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010132;PLENUM 50 WG;H351;Susceptible de provoquer le cancer;
2010132;PLENUM 50 WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010132;PLENUM 50 WG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9200317;JANOR;H290;Peut être corrosif pour les métaux;
9200317;JANOR;H315;Provoque une irritation cutanée;
9200317;JANOR;H318;Provoque des lésions oculaires graves;
9200317;JANOR;EUH071;Corrosif pour les voies respiratoires;
9200317;JANOR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
6800258;LEGURAME PM;H361d;Susceptible de nuire au foetus;
6800258;LEGURAME PM;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
6800258;LEGURAME PM;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8100472;PIRIGRAIN 250;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
8100472;PIRIGRAIN 250;H318;Provoque des lésions oculaires graves;
8100472;PIRIGRAIN 250;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8100472;PIRIGRAIN 250;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9800198;ELIOS;H317;Peut provoquer une allergie cutanée;
9800198;ELIOS;H400;Très toxique pour les organismes aquatiques;
9800198;ELIOS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600018;FORTRESS;H317;Peut provoquer une allergie cutanée;
9600018;FORTRESS;H400;Très toxique pour les organismes aquatiques;
9600018;FORTRESS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110011;METRIC;H400;Très toxique pour les organismes aquatiques;
2110011;METRIC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110011;METRIC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2070185;BANJO EXTRA;H361d;Susceptible de nuire au foetus;
2070185;BANJO EXTRA;H400;Très toxique pour les organismes aquatiques;
2070185;BANJO EXTRA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2070185;BANJO EXTRA;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one et du fluaziname. Peut produire une réaction allergique;
2070185;BANJO EXTRA;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2140042;CLOMATE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140042;CLOMATE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010035;NOVERTEX N;H318;Provoque des lésions oculaires graves;
2010035;NOVERTEX N;H400;Très toxique pour les organismes aquatiques;
2010035;NOVERTEX N;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100078;DECIS AL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2100078;DECIS AL;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2100078;DECIS AL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9200548;GUSTAFSON 42 S;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9200548;GUSTAFSON 42 S;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200548;GUSTAFSON 42 S;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9200548;GUSTAFSON 42 S;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8500023;ORDOVAL;H302;Nocif en cas d'ingestion;
8500023;ORDOVAL;H319;Provoque une sévère irritation des yeux;
8500023;ORDOVAL;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
8500023;ORDOVAL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080112;ROYALFLO ORANGE;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
